id,key,hint,name,tags,solved,hintUrl,category,createdAt,updatedAt,difficulty,description,disabledEnv,mitigationUrl,tutorialOrder,codingChallengeStatus
1,restfulXssChallenge,You need to work with the server-side API directly. Try different HTTP verbs on different entities exposed through the API.,API-only XSS,Danger Zone,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/xss.html#_perform_a_persisted_xss_attack_without_using_the_frontend_application_at_all,XSS,2024-07-02 07:39:14.013 +00:00,2024-07-02 07:39:14.013 +00:00,3,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> without using the frontend application at all. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,0
2,accessLogDisclosureChallenge,Who would want a server access log to be accessible through a web application?,Access Log,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_gain_access_to_any_access_log_file_of_the_server,Sensitive Data Exposure,2024-07-02 07:39:14.013 +00:00,2024-07-02 07:39:14.013 +00:00,4,Gain access to any access log file of the server.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html,NULL,0
3,registerAdminChallenge,You have to assign the unassignable.,Admin Registration,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/improper-input-validation.html#_register_as_a_user_with_administrator_privileges,Improper Input Validation,2024-07-02 07:39:14.014 +00:00,2024-07-02 07:39:14.014 +00:00,3,Register as a user with administrator privileges.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Mass_Assignment_Cheat_Sheet.html,NULL,0
4,adminSectionChallenge,It is just slightly harder to find than the score board link.,Admin Section,Good for Demos,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-access-control.html#_access_the_administration_section_of_the_store,Broken Access Control,2024-07-02 07:39:14.014 +00:00,2024-07-02 07:39:14.014 +00:00,2,Access the administration section of the store.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,NULL,0
5,fileWriteChallenge,Look out for a tweet praising new functionality of the web shop. Then find a third party vulnerability associated with it.,Arbitrary File Write,"Danger Zone,Prerequisite",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/vulnerable-components.html#_overwrite_the_legal_information_file,Vulnerable Components,2024-07-02 07:39:14.014 +00:00,2024-07-02 07:39:14.014 +00:00,6,"Overwrite the <a href=""/ftp/legal.md"">Legal Information</a> file. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerable_Dependency_Management_Cheat_Sheet.html,NULL,0
6,resetPasswordBjoernOwaspChallenge,He might have trumpeted it on at least one occasion where a camera was running. Maybe elsewhere as well.,Bjoern's Favorite Pet,OSINT,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-authentication.html#_reset_the_password_of_bjoerns_owasp_account_via_the_forgot_password_mechanism,Broken Authentication,2024-07-02 07:39:14.014 +00:00,2024-07-02 07:39:14.014 +00:00,3,"Reset the password of Bjoern's OWASP account via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Choosing_and_Using_Security_Questions_Cheat_Sheet.html,NULL,0
7,tokenSaleChallenge,"The developers truly believe in ""Security through Obscurity"" over actual access restrictions.",Blockchain Hype,"Contraption,Code Analysis,Web3",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/security-through-obscurity.html#_learn_about_the_token_sale_before_its_official_announcement,Security through Obscurity,2024-07-02 07:39:14.014 +00:00,2024-07-02 07:39:14.014 +00:00,5,Learn about the Token Sale before its official announcement.,NULL,NULL,NULL,0
8,nftUnlockChallenge,Find the seed phrase posted accidentally.,NFT Takeover,"Contraption,Good for Demos,Web3",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_take_over_the_wallet_containing_our_official_soul_bound_token,Sensitive Data Exposure,2024-07-02 07:39:14.014 +00:00,2024-07-02 07:39:14.014 +00:00,2,Take over the wallet containing our official Soul Bound Token (NFT).,NULL,NULL,NULL,0
9,nftMintChallenge,Discover NFT wonders among the captivating visual memories.,Mint the Honey Pot,"Web3,Internet Traffic",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/improper-input-validation.html#_mint_the_honey_pot_nft_by_gathering_bees_from_the_bee_haven,Improper Input Validation,2024-07-02 07:39:14.014 +00:00,2024-07-02 07:39:14.014 +00:00,3,Mint the Honey Pot NFT by gathering BEEs from the bee haven.,NULL,NULL,NULL,0
10,web3WalletChallenge,Try to exploit the contract of the wallet.,Wallet Depletion,"Web3,Internet Traffic",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/miscellaneous.html#_withdraw_more_eth_from_the_new_wallet_than_you_deposited,Miscellaneous,2024-07-02 07:39:14.014 +00:00,2024-07-02 07:39:14.014 +00:00,6,Withdraw more ETH from the new wallet than you deposited.,NULL,NULL,NULL,0
11,web3SandboxChallenge,It is just as easy as finding the Score Board.,Web3 Sandbox,Web3,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-access-control.html#_find_an_accidentally_deployed_code_sandbox,Broken Access Control,2024-07-02 07:39:14.015 +00:00,2024-07-02 07:39:14.015 +00:00,1,Find an accidentally deployed code sandbox for writing smart contracts on the fly.,NULL,NULL,NULL,0
12,rceChallenge,The feature you need to exploit for this challenge is not directly advertised anywhere.,Blocked RCE DoS,Danger Zone,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/insecure-deserialization.html#_perform_a_remote_code_execution_that_would_keep_a_less_hardened_application_busy_forever,Insecure Deserialization,2024-07-02 07:39:14.015 +00:00,2024-07-02 07:39:14.015 +00:00,5,Perform a Remote Code Execution that would keep a less hardened application busy <em>forever</em>. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html,NULL,0
13,captchaBypassChallenge,"After finding a CAPTCHA bypass, write a script that automates feedback submission. Or open many browser tabs and be really quick.",CAPTCHA Bypass,Brute Force,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-anti-automation.html#_submit_10_or_more_customer_feedbacks_within_20_seconds,Broken Anti Automation,2024-07-02 07:39:14.015 +00:00,2024-07-02 07:39:14.015 +00:00,3,Submit 10 or more customer feedbacks within 20 seconds.,NULL,NULL,NULL,0
14,changePasswordBenderChallenge,In previous releases this challenge was wrongly accused of being based on CSRF.,Change Bender's Password,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-authentication.html#_change_benders_password_into_slurmcl4ssic_without_using_sql_injection_or_forgot_password,Broken Authentication,2024-07-02 07:39:14.015 +00:00,2024-07-02 07:39:14.015 +00:00,5,Change Bender's password into <i>slurmCl4ssic</i> without using SQL Injection or Forgot Password.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html,NULL,0
15,christmasSpecialChallenge,Find out how the application handles unavailable products and try to find a loophole.,Christmas Special,NULL,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/injection.html#_order_the_christmas_special_offer_of_2014,Injection,2024-07-02 07:39:14.015 +00:00,2024-07-02 07:39:14.015 +00:00,4,Order the Christmas special offer of 2014.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,NULL,0
16,usernameXssChallenge,"What is even ""better"" than a legacy page with a homegrown RegEx sanitizer? Having CSP injection issues on the exact same page as well!",CSP Bypass,Danger Zone,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/xss.html#_bypass_the_content_security_policy_and_perform_an_xss_attack_on_a_legacy_page,XSS,2024-07-02 07:39:14.015 +00:00,2024-07-02 07:39:14.015 +00:00,4,Bypass the Content Security Policy and perform an XSS attack with <code>&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> on a legacy page within the application. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,0
17,persistedXssUserChallenge,Only some input fields validate their input. Even less of these are persisted in a way where their content is shown on another screen.,Client-side XSS Protection,Danger Zone,0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/xss.html#_perform_a_persisted_xss_attack_bypassing_a_client_side_security_mechanism,XSS,2024-07-02 07:39:14.015 +00:00,2024-07-02 07:39:14.015 +00:00,3,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>client-side</i> security mechanism. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,0
18,directoryListingChallenge,Analyze and tamper with links in the application that deliver a file directly.,Confidential Document,Good for Demos,1,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_access_a_confidential_document,Sensitive Data Exposure,2024-07-02 07:39:14.016 +00:00,2024-07-02 08:30:09.028 +00:00,1,Access a confidential document.,NULL,NULL,NULL,0
19,localXssChallenge,Look for an input field where its content appears in the HTML when its form is submitted.,DOM XSS,"Tutorial,Good for Demos",0,https://pwning.owasp-juice.shop/companion-guide/latest/part2/xss.html#_perform_a_dom_xss_attack,XSS,2024-07-02 07:39:14.016 +00:00,2024-07-02 07:39:14.016 +00:00,1,"Perform a <i>DOM</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code>.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/DOM_based_XSS_Prevention_Cheat_Sheet.html,2,0
